STATION,NAME,DATE,ACMH,ACSH,AWND,FMTM,FRGT,PGTM,PRCP,PSUN,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDF1,WDF2,WDF5,WDFG,WDFM,WESD,WSF1,WSF2,WSF5,WSFG,WSFM,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",25-02-1960,,,,,,2336,0,,0,0,,38,25,,,,,113,,,,,,36.7,,,,,,,,,,,,,,,,,,1,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",26-02-1960,,,,,,30,1.34,,0,0,,45,35,,,,,113,,,,,,35.6,,1,,,1,,,,1,,,,,,,1,,1,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",27-02-1960,,,,,,1048,0,,0,0,,40,32,,,,,293,,,,,,46.1,,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",28-02-1960,,,,,,1306,0,,0,0,,40,30,,,,,293,,,,,,32.2,,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",29-02-1960,,,,,,2054,0,,0,0,,34,21,,,,,315,,,,,,31.1,,,,,,,,,,,,,,,,,,1,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",01-03-1960,,,,,,2136,0,,0,0,,30,17,,,,,315,,,,,,43.6,,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",02-03-1960,,,,,,0,0,,0,0,,33,15,,,,,315,,,,,,34.4,,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",03-03-1960,,,,,,2200,0.78,,8.3,0,,31,15,,,,,90,,,,,,48.3,,,,,,,,,,,,,,,,,,1,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",04-03-1960,,,,,,554,1.22,,11.4,13,,32,25,,,,,45,,1.5,,,,57.5,,,,,,,,,,1,,,,,,,,1,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",05-03-1960,,,,,,200,0,,0.1,19,,34,27,,,,,338,,1.9,,,,30,,,,,,,,,,1,,,,,,,,1,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",06-03-1960,,,,,,700,0,,0,18,,36,27,,,,,315,,1.8,,,,23,,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",07-03-1960,,,,,,412,0,,0,15,,38,23,,,,,315,,1.5,,,,23,,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",08-03-1960,,,,,,2054,0.01,,0.3,11,,34,22,,,,,315,,1.3,,,,33.3,,1,,,,,,,1,,,,,,,,,1,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",09-03-1960,,,,,,242,0,,0,9,,33,19,,,,,315,,1,,,,35.6,,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",10-03-1960,,,,,,2036,0,,0,8,,32,14,,,,,338,,0.8,,,,39.1,,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",11-03-1960,,,,,,948,0,,0,7,,26,10,,,,,315,,0.7,,,,34.4,,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",12-03-1960,,,,,,442,0.01,,0.2,7,,37,18,,,,,315,,0.8,,,,24.2,,,,,,,,,,,,,,,,,,1,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",13-03-1960,,,,,,448,0,,0,5,,42,29,,,,,360,,0.6,,,,21.9,,,,,,,,,,,,,,,,,,1,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",14-03-1960,,,,,,1730,0,,0,3,,41,28,,,,,315,,0.4,,,,24.2,,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",15-03-1960,,,,,,330,0,,0,3,,37,27,,,,,338,,0.4,,,,18.3,,,,,,,,,1,,,,,,,,,,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",16-03-1960,,,,,,1112,0,,0,2,,40,26,,,,,90,,0.4,,,,15,,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",17-03-1960,,,,,,842,0.6,,2,2,,38,33,,,,,135,,0.3,,,,31.1,,1,,,1,,,,,,,,,,,1,,1,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",18-03-1960,,,,,,48,0,,0,0,,46,34,,,,,315,,,,,,21.9,,1,,,,,,,1,,,,,,,,,,,,
